word,a1_word,a1_guid,a2_word,a2_guid
abfliegen,abfliegen,vp<}8ob4yO,abfliegen,DvTW@B#<OT
an sein,an sein,z]e=Icr@.^,an sein,J`gx()_fz*
anschluss,der Anschluss,m].dWM}h#,Anschluss,jz3/SPOwZe
antwort,"die Antwort, -en",gZx6$`:OC:,Antwort,"u;,.7S]IG>"
antworten,antworten,vr)9^IZ<=`,antworten,JX(syjo6rr
anzeige,"die Anzeige, -n",n:7|8fHH8H,Anzeige,"Y&dFqt=T,"
anziehen,(sich) anziehen,H`jDfsk+i,anziehen,"C39sM,Fr_N"
apfel,"der Apfel, -Ä",B?SXR)^0?r,Apfel,b*Z2-C6[LV
arbeit,"die Arbeit, -en",r`]pVELDp3,Arbeit,i~F2bO&PKf
arbeiten,arbeiten,Hj@kXLK@_8,arbeiten,E<&3F7SAJv
arbeitslos,arbeitslos,h-?bl;)Bxs,arbeitslos,"BQ:K;Ns,[Y"
arm,"der Arm, -e",Q*JE9HbNeA,Arm,eEfDkORQ`~
auch,auch,"B_9&,ho6C&",auch,w!oXMhj^;F
auf,auf,"M@,QhW`?mP",auf,I|po~N<H6=
auf sein,auf sein,wN^Q!g+g~S,auf sein,K8PEJ(NsKR
aufhören,aufhören,D_1>^D3E2e,aufhören,"D-eQ#N,J@k"
aufstehen,aufstehen,hC@6o5FEP9,aufstehen,&!fnneC?i
aufzug,"der Aufzug, -ü, e",m6$lR_l#uV,Aufzug,jfNnh&5>Ya
auge,"das Auge, -n",d^I07D/EQR,Auge,sZ9{bc0T{m
aus,aus,"Iw,~hDHzCC",aus,Em-QD=`Yb<
aus sein,aus sein,Dtg_({RPg&,aus sein,gsN^Occ_D_
ausflug,der Ausflug,No3E-oqST/,Ausflug,t0stY)ug-M
ausfüllen,aus|füllen,E335;LYpl_,ausfüllen,u_C0jN8(c(
ausgang,der Ausgang,OVbiZ%znZU,Ausgang,l~L*!t<X$M
auskunft,"die Auskunft, -ü, e",J@%_uKprAj,Auskunft,Qz(K4}CDz(
ausland,das Ausland,x0EvWgjG{),Ausland,m-u$5_S?ru
ausmachen,ausmachen,y|6!Nu50%w,ausmachen,x8+JFiG4w%
aussehen,aussehen,f<y8b#;wN+,aussehen,teggA;_0[d
aussteigen,aussteigen,buER;pU>ZZ,aussteigen,"f,:mb|:;;>"
ausweis,der Ausweis,"A5}V3^J`,^",Ausweis,K_VV`w+tDi
ausziehen,ausziehen,b&kT^h{xGt,ausziehen,k7)p3>w=&w
auto,"das Auto, -s",Agi]2]tMnj,Auto,p=|!-cPhEm
autobahn,"die Autobahn, -en",ka5XUU_DGc,Autobahn,jZg%x!LvPB
automat,der Automat,CDQb;M#S6q,Automat,L!uy-NKuJG
automatisch,automatisch,"qJIOiS*<,t",automatisch,oWqZ=sU>W.
baby,"das Baby, -s",P>s*qw+B1],Baby,l$CYO$C|ro
bad,das Bad,H1%#_xgLMM,Bad,X.*Zeigk-
baden,baden,Q}/PlP]>L=,baden,z3LK3l{S?b
bahn,die Bahn,jFi(nsf&!c,Bahn,;*+4G-+N(
bahnhof,der Bahnhof,FZh^W=%ELt,Bahnhof,eFv-Q;/@nm
bahnsteig,der Bahnsteig,rf67TZxY6`,Bahnsteig,s^~};vx3an
bald,bald,Fyig]EO~Ql,bald,n5`NDnf$Qu
balkon,der Balkon,fi;5fF(Uy8,Balkon,Gi#kRS!|M4
banane,"die Banane, -n",khnN/uI0w},Banane,k2C}I?+(9|
bank,die Bank,d7JRl(k-nw,Bank (Sitzgelegenheit),NJ)`h2o2yv
bar,bar,lYQp1[sV&g,bar,ucfN*.zFfI
bauch,der Bauch,Ds+)pSwNC$,Bauch,y<==7szRNh
baum,"der Baum, -ä, e",m>dj<ALsT,Baum,"x|vx,-}/.c"
bedeuten,bedeuten,bsq3pUj-=(,bedeuten,u?SifP9_PJ
beginnen,beginnen,f$2KWoyrG@,beginnen,OEt}j>_V9+
bei,bei,vlzJ9_Z:(c,bei,iTG{4MrXQ(
beide,beide,icSsc]{<zg,beide,N=f_KG&jwn
bekannt,bekannt,FF[$u;]>n(,bekannt,DOH~I^&U.;
bekommen,bekommen,z;:bIaCK#9,bekommen,L2E4J#6FCo
benutzen,benutzen,DL:n:r^r*e,benutzen,i=7$AXhGM(
beruf,"der Beruf, -e",F:_vWDl3|],Beruf,J^hWUNy1Z[
besetzt,besetzt,k+EYdJ4p_(,besetzt,tw[EKD^YG(
besichtigen,besichtigen,Lmv-+c&k^7,besichtigen,xho^h+j=>i
bestellen,bestellen,o%8B@Lu~RB,bestellen,qf|NF9*6t4
besuchen,besuchen,Oq+lrl(clV,besuchen,k5SIr>p*.+
bett,"das Bett, -en",H+V6pEb:pv,Bett,Ppy_/#uVw(
bezahlen,bezahlen,GI=v@z`1.l,bezahlen,KNIJa1g45|
bier,das Bier,sRnH2vOd2%,Bier,Y7;iHv-[&
bild,"das Bild, -er",bsTTHT1Aaw,Bild,K*Yy0!%e-9
billig,billig,KZ]ItLvZSF,billig,"CQ)d6x=,CM"
birne,"die Birne, -n",w{NiKAlm[H,Birne,NPuqmD=jPi
bis,bis,ncL`sWuA`Q,bis,Ov8O+)nJw<
bisschen,bisschen,i#^k?KXy2|,bisschen,qAPbIsNez/
bitte,"die Bitte, -n",L{>o]F:}3F,Bitte,iH&9S^{&sP
bitten,bitten,sogTl_jv7q,bitten,"kaX?,Shh{f"
bitter,bitter,kj8gMlU7g$,bitter,t+wY]@C.=1
bleiben,bleiben,EKR+LH`lLf,bleiben,o.0M~X97GM
bleistift,"der Bleistift, -e",QFS^|X!!-K,Bleistift,h/+NF~?$B`
blume,"die Blume, -n",Qrjb}@hhQ%,Blume,s|cXujlgG!
brauchen,brauchen,g49@;b#MqX,brauchen,dHMF|m0DPx
brief,"der Brief, -e",B2j*<TIy:d,Brief,hi&:e78_6{
briefmarke,"die Briefmarke, -n",M9fRN}S%`C,Briefmarke,c-jTrR_N~|
bringen,bringen,MF=mgFhD7?,bringen,Rgx^:M.xi+
brot,"das Brot, -e",hD30}IJb4~,Brot,PP3~0C-#H
brötchen,"das Brötchen, –",NTTw#_8mG3,Brötchen,zt{v[mVQhT
buch,"das Buch, -ü, er",kp3#^pi6]},Buch,"uk$-56L,Q>"
buchstabe,"der Buchstabe, -n",qRu]bZznNx,Buchstabe,E*erT=Xxj
buchstabieren,buchstabieren,n(9Qvo^G},buchstabieren,GZ1/CU)GCQ
bus,"der Bus, -se",Q/5Apfo{WT,Bus,"s+P,Pdv&_4"
butter,die Butter,hBb?D}l!33,Butter,eN_qIh(ZL)
bäckerei,die Bäckerei,brS>[6L`-K,Bäckerei,uJVUwSw4JE
böse,böse,EDqE/_&VM_,böse,w@MXeO!Gc8
café,"das Café, -s",I||(yxk8IN,Café,b-%<&biE$^
chef,der Chef,LQ`i<x#T$N,Chef,C]}?];<2G?
computer,"der Computer, –",CPya|wo)4I,Computer,k.c{(Gg#X[
da,da,f<BfuKXh)&,da,df@OFUi4mN
dame,"die Dame, -n","cg,=j_7sPA",Dame,y1mq*W%Xt>
daneben,daneben,"svEA@,O_B$",daneben,y@CC!+|T}a
dank,der Dank,"x`;m,Dv,[)",Dank,jfZDlc};VY
danke,danke,f/.T_T|Xf{,danke,bWc)36<V*/
danken,danken,KUAZP#/s0D,danken,"n.m?R2c,<%"
dann,dann,IH.p9C&80Z,dann,oGxcxbe=wo
datum,das Datum,GG^o>krIp_,Datum,n*Am6nRAwa
dauern,dauern,m?k+*J^:_I,dauern,"vHu4,LP{>a"
denn,denn,K=3(N]_Uxl,denn,Il^/Kekho~
disco,die Disco,Kpjvq<1U?s,Disco,gNM}K=!jp@
doppelzimmer,das Doppelzimmer,fH.<V#bPjq,Doppelzimmer,OfV]lRB_u~
dorf,"das Dorf, -ö, er",Pv+5+-Fd|Z,Dorf,HZ`3<_w{rP
dort,dort,oV<#hp<E^>,dort,BlkI6`Bw#=
dorther,dorther,x]6u4lH*i&,dorther,j{M0L21[iB
dorthin,dorthin,yrfJ17`z?,dorthin,",H;r/dY$E"
draußen,draußen,AcoKTW)VL[,draußen,N8UwRBQwjo
drucken,drucken,"KqOx,~b1xq",drucken,F:aA9lIn!A
drucker,"der Drucker, –",L[hm`{?9M1,Drucker,eJM15yKZ`1
drücken,drücken,p)!a19}LkF,drücken,k1)AY$wFkl
durch,durch,"ty6),8[Mgl",durch,A|~St(X>EZ
durst,der Durst,E}`/oFGMTl,Durst,oY([DCOd|2
dusche,die Dusche,"kC=bEdh,ni",Dusche,i4.6:!C[;w
dürfen,dürfen,Ia+d&Z+Gl2,dürfen,Et6(Xl=*L-
e-mail,"die E-Mail, -s",q/~7T+mk2v,E-Mail,o0XQ&G>.*(
ecke,"die Ecke, -n",Ew>L@v#oaA,Ecke,"Du,..OJgRx"
ehefrau,"die Ehefrau, -en/",gf5oi9ot?*,Ehefrau,C1n>3f6F5n
ehemann,"der Ehemann, ä, er",i0dz^3_fLg,Ehemann,rOL/r7:26$
ei,"das Ei, -er",C8EQL4(0VT,Ei,OF)ovZSad!
eilig,eilig,j13a!Nk;Vi,eilig,iC)Uw8XFw-
einfach,einfach,f<-7J@&8${,einfach,r_H*OcV)iU
eingang,der Eingang,A$(4B3<{Pn,Eingang,DuW6FQ)A6q
einkaufen,einkaufen,kwX<V&<00A,einkaufen,hq%4{ZAUXF
einladen,einladen,hP2i|4W~H2,einladen,EV7&WD/*qI
einladung,die Einladung,FqZ}o;`)jm,Einladung,o(fR6A#`Jn
einmal,einmal,D>(`YARERC,einmal,A]Rzk]SVE^
einsteigen,ein|steigen,J;ju0/Z[HZ,einsteigen,KlJG(3wYH-
eintritt,der Eintritt,KaCOIXM?j.,Eintritt,PO@]m<<w:y
einzelzimmer,das Einzelzimmer,si1Sd`PyEm,Einzelzimmer,e(/O.gm~}g
empfehlen,empfehlen,Cs0Y<;Fvtn,empfehlen,"FtPp9.,]y/"
empfänger,"der Empfänger, –",mEq<trMT8J,Empfänger,jY~]1wm=-G
ende,das Ende,o:p.2m$fMv,Ende,yo%BliH}i/
enden,enden,Kjrq&0ZkgZ,enden,kmX/tMzz2v
entschuldigung,die Entschuldigung,bH?@${E+DP,Entschuldigung,oqx1@-TCB9
erklären,erklären,ot~%OD.8K%,erklären,l.j>38ReGQ
erlauben,erlauben,D)MJ+J}8`.,erlauben,kXNS4Z9#?K
