word,a1_word,a1_guid,a2_word,a2_guid,b1_word,b1_guid,found_in
ansage,"die Ansage, -n",AxOW#C(XIH,,,"die Ansage, -n",L)t/zo^Na`,A1
apartment,"das Apartment, -s",wxR2TG63CG,,,"das Apartment, -s",uC;WDeB@|n,A1
appetit,der Appetit,As4EvCrc#r,,,"der Appetit, (Sg.)",Kt~3w!ssmD,A1
arbeitsplatz,"der Arbeitsplatz, -ä, e",xq%bkEJ8p#,,,"der Arbeitsplatz, -""e",N{YNo?!$K~,A1
arzt,"der Arzt, -Ä, e",zC::U7-[|n,,,"der Arzt, -""e",bjqg*1K=Kd,A1
aufgabe,"die Aufgabe, -n",p!_.}q.l!S,,,"die Aufgabe, -n",Li%=Jl7*b.,A1
ausländer,"der Ausländer, -",A.q.:ZhFD0,,,"der Ausländer, -",D|g~P-^k?z,A1
ausländisch,ausländisch,"h>^,:f^n1)",,,ausländisch,M`rIc%/9Cm,A1
beamte,"der Beamte, -n",[8`Y~@~~S,,,"der Beamte, -n",Aw4Bg>YsN,A1
bein,"das Bein, -e","G|8wE`*s,-",,,"das Bein, -e",o7G6J!$A;R,A1
beispiel,"das Beispiel, -e",cza9`Q0pC>,,,"das Beispiel, -e",zipORj7#~r,A1
blau,blau,n|2fnMxix+,,,blau,Fpz-~}S@J=,A1
blick,der Blick,e5aNO##{zR,,,"der Blick, -e",iH>2>o=(4&,A1
bogen,der Bogen,i/seEyXLWI,,,"der Bogen, -""",QI8hbIGEiT,A1
braten,,,braten,m[8ZoDhCvY,"der Braten, -",A2_0A~l^8P,A2
braun,braun,i/8vH0PaCl,,,braun,"h:1Zw,E<36",A1
breit,breit,Qgg3P%*[ve,,,breit,r4XQd|]IR#,A1
bruder,"der Bruder, -ü",lhjPi!.]-R,,,"der Bruder, -""",EegSZ~0Cjd,A1
cd,"die CD, -s",nWLxAG!N:p,,,"die CD, -s",uj*!#7Of^J,A1
doktor,der Doktor,"eoVLekTx,s",,,"der Doktor, -en",iXy`l:8aIy,A1
durchsage,"die Durchsage, -n",Q1#j#K(]4=,,,"die Durchsage, -n",pAa2H3T9>x,A1
duschen,(sich) duschen,pztRGY%a<),,,"duschen, duscht, duschte, hat geduscht",yvVq1u=5b2,A1
eltern,die Eltern (pl.),z;bFCRRRlR,,,die Eltern (Pl.),rXzRCA3ZRC,A1
entschuldigen,entschuldigen,lq[bkoTUV&,,,"entschuldigen, entschuldigt, entschuldigte, hat entschuldigt",Q~MsK.AOr6,A1
ergebnis,"das Ergebnis, -se",gawdN:w--;,,,"das Ergebnis, -se",OqS^Mr@o0p,A1
es,es,eVzgjiI<?@,,,es,O:{.N$Uh>|,A1
fahrer,der Fahrer,lCnn`9(d}3,,,"der Fahrer,",gy0g?tWT9I,A1
familienstand,der Familienstand,1_yS&)m{a,,,"der Familienstand, -""e",AF]pFS&Adn,A1
fax,"das Fax, -e",g-#&w&57Dr,,,"das Fax, -e",pb3Vh)X}1i,A1
fernsehen,fernsehen,l{.`cf;:Ks,,,das Fernsehen (Sg.),G}}`fsk}NG,A1
fertig,fertig,n5#k`24sTN,,,fertig,x2k{t$OsR1,A1
fest,,,Fest,zCi}W*R#Vu,fest,hYh0yR(2c>,A2
fett,,,fett,rn|Xg%0<==,"das Fett, -e",EALSc5dCvR,A2
feuer,das Feuer,enNv*CVbd5,,,"das Feuer, -",h]Lax|+yr:,A1
gelb,gelb,jh^QA-6Oj_,,,gelb,M;7O}h3uB],A1
geschwister,die Geschwister (pl.),y5w%X$ZrRy,,,die Geschwister (Pl.),"A9OUa-,udm",A1
gewicht,das Gewicht,"t8JBc_G{A,",,,"das Gewicht, -e",4SYn~(xaM,A1
grau,grau,"s5D)O,.)S$",,,grau,zb/nE9fUY=,A1
grün,grün,FRtbXsij$Z,,,grün,w+`?XC*h>!,A1
gültig,gültig,M/m.e@AM:P,,,gültig,q5![k{VY5/,A1
halbpension,die Halbpension,thZOz2KzH*,,,"die Halbpension, -en",C9=mYc$}KU,A1
hausaufgabe,"die Hausaufgabe,-n",qL[+KMP?hc,,,"die Hausaufgabe, -n",M/z.wCKP-#,A1
hausfrau,"die Hausfrau, -en/",g;1}^0XwhY,,,"die Hausfrau, -en",DKq1^SMp#1,A1
hausmann,der Hausmann,iZN?@j=d/X,,,"der Hausmann, -""er","lf>Q,7)3eK",A1
husten,,,husten,"tY,x3[f7cv","der Husten, -","o*By,v!#cL",A2
klasse,die Klasse,EMM~Z?JA+B,,,"die Klasse, -n",r$`j+Y?V#<,A1
kosten,kosten,O0DNHH42J^,,,die Kosten (Pl.),xaKK%$EAz@,A1
kugelschreiber,der Kugelschreiber,B.8`T9g<DR,,,"der Kugelschreiber, -",B0VNc9`Hm?,A1
kulturell,kulturell,IiRvgX7wq*,,,kulturell,hp{~RY^H>{,A1
ledig,ledig,J&p]8]}XSP,,,ledig,LZa3D3lv=1,A1
lehrer,"der Lehrer, –","hn%/)(,e/I",,,"der Lehrer, -",g`xsL)I[o3,A1
lieblings-,Lieblings-,BQ{59|QfbB,,,Lieblings-,r1^iy/4yQz,A1
lkw,"der Lkw, -s",O.3ThuJg=h,,,"der LKW, -s (Lastkraftwagen)",dH~zMpfjQ=,A1
lösung,"die Lösung, -en",GK4q@.rOf>,,,"die Lösung, -en",fXwHz):.8E,A1
meist-,meist-,Bf@F+C9{<h,,,"meist-, die meisten",F~sW0ngZ$=,A1
mutter,"die Mutter, -ü",c7o^uYV;rI,,,"die Mutter, -""","k_?^+-E,}/",A1
oma,"die Oma, -s","AWmN/Pz*4,",,,"die Oma, -s",q$@z/n!h0U,A1
opa,"der Opa, -s",pwXB5PB{S=,,,"der Opa, -s",xi|zmNZ;me,A1
rad fahren,Rad fahren,nHGqr_J:(w,,,"Rad fahren, fährt Rad, fuhr Rad, ist Rad gefahren",uzy:YoUVQ0,A1
rot,rot,LSUYM$Hj7U,,,rot,s+3g>M%~!<,A1
rücken,,,Rücken,EzJ}pwW3-1,rücken,c4{^#@^9E`,A2
s-bahn,die S-Bahn,OtQtViXU(,,,"die S-Bahn, -en",f>_L.zv3)q,A1
schinken,"der Schinken, –",p~%#ZDF;hw,,,"der Schinken, -",jEYa.EhGOj,A1
schreiben,schreiben,"u{V,L?T`_;",,,"das Schreiben, -",co%QGZ-6q>,A1
schwarz,schwarz,fb@ceH7a@8,,,schwarz,Au~!wgcrJU,A1
schwester,"die Schwester, -n",MT;a.|)v^B,,,"die Schwester, -n",x3DQvy.3S%,A1
selbstständig,selbstständig,"zheskb,76y",,,selbstständig,e|(Fw)K^iQ,A1
sohn,"der Sohn, -ö, e",ywMh47Wq/!,,,"der Sohn, -""e",LgjO|IQhs;,A1
stunde,"die Stunde, -n",dEc;#-i_hh,,,"die Stunde, -n",fU^8aR1(Vz,A1
teil,"der Teil, -e",p>rWZc+bBu,,,"der Teil, -e",PY_O.NL?Ds,A1
test,der Test,H][<dEQDvK,,,"der Test, -s","u,3PL3]Nm,",A1
tochter,"die Tochter, -ö",s?)R!|!B?`,,,"die Tochter, -""",JNf%5rVaVq,A1
treffen,(sich) treffen,M<d[X7-.T[,,,"treffen, trifft, traf, hat getroffen","N5*3,{J-H7",A1
vater,"der Vater, -ä","nUPM4),Plv",,,"der Vater, -""",tKW4Th1;Y!,A1
verheiratet,verheiratet,mAtQ4!bIun,,,verheiratet,IkXkm-13W>,A1
verkäufer,"der Verkäufer, –",8fF_N4p=K,,,"der Verkäufer, -",Of#<JygDvI,A1
verwandte,"der Verwandte, -n",lA|}3g4n_b,,,"der Verwandte, -n",ki&SfCYdI#,A1
vorsicht,die Vorsicht,h+Atl={ZaN,,,die Vorsicht (Sg.),Giq=gveG^8,A1
vorstellen,(sich) vorstellen,vE3{sQ6mW6,,,"vorstellen, stellt vor, stellte vor, hat vorgestellt",B[>AKxp:PO,A1
vorwahl,die Vorwahl,Eg7Zu2oZ}7,,,"die Vorwahl, -en",OqH{!XJwN#,A1
waschen,(sich) waschen,vppcE*!-sy,,,"waschen, wäscht, wusch, hat gewaschen",joY(}rL4wO,A1
weh tun,weh tun,s6g[.*}Og<,,,"weh tun, tut weh, tat weh, hat weh getan",A[o8>64=RI,A1
weiß,weiß,tY~QU(*tuA,,,weiß,du4Xrdc-^s,A1
welch-,welch-,eq?2a|Cei=,,,"welch-, welcher, welche, welches",GBqFc-pGEB,A1
westen,der Westen,eBxtZi[n~B,,,"der Westen, West, West- (Sg.)",dl]]zzu@hA,A1
wörterbuch,"das Wörterbuch, -ü, er",jX0v=3a_sH,,,"das Wörterbuch, -""er",y8]6*M/^[G,A1
zigarette,"die Zigarette, -n",i0%seH?MyH,,,"die Zigarette, -n",x:<r3=Sz;^,A1
zoll,der Zoll,F0RIqluo]t,,,"der Zoll, -""e",t_;B.JIdR2,A1
zurzeit,zurzeit,r89@3K0tBV,,,zurzeit,c7Eho9Wei^,A1
